;;Возмущение в y(a);;Возмущение в y(a) и y(b);;Возмущение в y(b);
Возмущение в долях;Возмущение в процентах;Конечные разности;Коши;Конечные разности;Коши;Конечные разности;Коши
1.000000e-02;1.000000e+00;1.923820e-02;9.863820e-03;1.052141e-02;1.047753e-02;4.773429e-03;4.709509e-03
1.000000e-03;1.000000e-01;1.724950e-03;9.873312e-04;1.100745e-03;1.052501e-03;5.338277e-04;4.667524e-04
1.000000e-04;1.000000e-02;1.391287e-04;9.968229e-05;1.735373e-04;1.101407e-04;1.191765e-04;4.349748e-05
1.000000e-05;1.000000e-03;8.197213e-05;1.386655e-05;8.604372e-05;1.594939e-05;8.069457e-05;8.039774e-06
1.000000e-06;1.000000e-04;7.711823e-05;6.308654e-06;7.752936e-05;6.539715e-06;7.699444e-05;5.725257e-06
1.000000e-07;1.000000e-05;7.663681e-05;5.575642e-06;7.667792e-05;5.598748e-06;7.662443e-05;5.517302e-06
1.000000e-08;1.000000e-06;7.658867e-05;5.502341e-06;7.659278e-05;5.504651e-06;7.658743e-05;5.496507e-06
1.000000e-09;1.000000e-07;7.658385e-05;5.495010e-06;7.658427e-05;5.495242e-06;7.658373e-05;5.494427e-06
1.000000e-10;1.000000e-08;7.658337e-05;5.494277e-06;7.658341e-05;5.494301e-06;7.658336e-05;5.494219e-06
1.000000e-11;1.000000e-09;7.658333e-05;5.494204e-06;7.658333e-05;5.494206e-06;7.658332e-05;5.494198e-06
;Реальное значение без возмущений;7.658332e-05;5.494196e-06;;;;
